feature,pista,categoria,exp,n_obs,n_crisis,n_calm,n_crises_cov,inicio,mean_crisis,mean_calm,cohens_d,auc,auc_oriented,point_biserial,pb_p
VIX_level_z,B,vix,+,9172,1795,7377,13,1990-03-27,1.0284709392614177,-0.22125870716534346,1.196549019511626,0.8097448102455006,0.8097448102455006,0.4288894221313353,0.0
MOVE_level_z,B,vol,+,5790,1044,4746,10,2003-02-10,0.7290488979693283,-0.5419757696380975,1.3331827955165165,0.7998746272319661,0.7998746272319661,0.4561792942738519,1.299946859964304e-295
credit_BAA10Y_z,B,spreads,+,10075,1849,8226,14,1986-03-31,1.268058373106752,-0.1638326358010137,1.3038305002645392,0.7915773003773734,0.7915773003773734,0.45060742269143994,0.0
credit_BaaAaa_z,B,spreads,+,10111,1854,8257,14,1986-03-27,0.7160063125533188,-0.4529475867653115,1.0335406626645367,0.7445163392467886,0.7445163392467886,0.3713777239404203,0.0
SP500_vol_z,A,vol,+,24683,4659,20024,22,1928-04-11,0.32173719055647687,-0.3502689031741002,0.8686707164983227,0.7385305587791324,0.7385305587791324,0.32184804993060023,0.0
SP500_momentum,A,momentum,-,24500,4659,19841,22,1929-01-03,-0.06521932429973479,0.08345575692042419,-0.8254764624527093,0.2764057753452028,0.7235942246547973,-0.30818663352879255,0.0
SP500_absret_z,A,vol,+,24692,4659,20033,22,1928-03-28,0.2397398202960547,-0.2115952380911903,0.5698969419738681,0.6371491653495922,0.6371491653495922,0.21764050279357472,1.5929303315546046e-262
SKEW_level_z,B,vix,+,9069,1765,7304,13,1990-03-27,0.26552916354885603,0.8292233364991602,-0.438982194091142,0.3676102814554639,0.6323897185445361,-0.17124775157837566,1.2180546920293439e-60
corr_spx_bond,B,corr,-,16254,3368,12886,19,1962-02-14,-0.06598590051682793,0.0803914124461599,-0.3959316722953742,0.38565001126266035,0.6143499887373396,-0.1584564665481926,7.152792079116866e-92
SP500_drawdown,A,drawdown,-,24752,4659,20093,22,1927-12-30,-0.21979915809049233,-0.2029792370836997,-0.07425555777236098,0.4019659783979169,0.5980340216020831,-0.029014966656204812,4.980959473861711e-06
yield_slope_z,B,curva,?,11078,1945,9133,15,1982-03-30,-0.06311373546870638,-0.34664613282403806,0.2585556031258079,0.5729114201248221,0.5729114201248221,0.09790544186250545,5.242293240061326e-25
SPGSCI_ret20_z,B,commodities,-,10638,1862,8776,14,1984-04-25,-0.22207933493619153,0.0999732790032611,-0.2726583012371568,0.4284315954947924,0.5715684045052076,-0.10306677113750272,1.6083020064055785e-26
SP500_ret_z,A,retornos,-,24692,4659,20033,22,1928-03-28,-0.15303308300216337,0.04521695450702899,-0.24206871316903636,0.43467481274484776,0.5653251872551522,-0.09429311888859573,7.033060813184706e-50
DXY_ret20_z,B,fx,+,14023,2740,11283,16,1971-04-28,0.18373621341857901,-0.007656588655922525,0.18560880893237613,0.5554385481419952,0.5554385481419952,0.07340119034457837,3.231007702577469e-18
JPY_ret20_z,B,fx,-,13837,2720,11117,16,1971-04-27,0.12202074268615173,0.052353461161497715,0.06788707531891162,0.5236474411209119,0.5236474411209119,0.026970983533360464,0.0015092017765680442
yield_slope_chg20_z,B,curva,+,11058,1925,9133,15,1982-04-28,0.049682632049470064,-0.018271520966637565,0.09303702089269704,0.5146511082260562,0.5146511082260562,0.03525903793546328,0.00020851583398729054
VIX_change_z,B,vix,+,9171,1795,7376,13,1990-03-28,0.1178563326308611,-0.0280795024014357,0.12497952933454587,0.5131236442516269,0.5131236442516269,0.04953119907227868,2.078498915849493e-06
