detector,n_states,ventana_eval,oos_start,oos_end,n_oos,false_alarm_rate,switching_rate,mean_regime_duration,label_stability,silhouette,log_likelihood,aic,bic,cov_GFC_2008,cov_GFC_2008_lo,cov_GFC_2008_hi,cov_EuroDebt_2011,cov_EuroDebt_2011_lo,cov_EuroDebt_2011_hi,cov_COVID_2020,cov_COVID_2020_lo,cov_COVID_2020_hi,cov_Inflation_2022,cov_Inflation_2022_lo,cov_Inflation_2022_hi,fa_TaperTantrum_2013,fa_Selloff_Q4_2018,leadlag_GFC_2008,leadlag_EuroDebt_2011,leadlag_COVID_2020,leadlag_Inflation_2022
rule_vix_threshold,2,1998-06-23→2026-06-12 (n=6994),1998-06-23,2026-06-12,6994,0.6973555337904016,0.0131541321132399,75.20430107526882,0.999070499070499,0.5952887591009554,,,,0.9383561643835616,0.8695205479452055,1.0,0.6352941176470588,0.4470588235294118,0.8705882352941177,0.9,0.8,1.0,0.3492822966507177,0.2200956937799043,0.4784688995215311,0.0,0.0634920634920634,-251.0,-39.0,-17.0,-179.0
rule_composite_riskoff,2,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.7245080500894454,0.0385050962627406,25.718446601941743,0.9996220710506424,0.2919965581155889,,,,,,,,,,0.84,0.78,0.96,0.5384615384615384,0.4109375,0.6611778846153845,,0.423728813559322,,,-251.0,-219.0
clustering_gmm_k3,3,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.4944567627494456,0.126085315213288,7.907462686567164,0.9763794406651548,0.0808691484730337,-29788.98697860256,60391.97395720512,63016.24610431067,,,,,,,0.96,0.94,1.0,0.8653846153846154,0.7836538461538461,0.9375,,0.0,,,-20.0,-219.0
hmm_gaussian_2s,2,2012-07-20→2026-06-12 (n=3405),2012-07-20,2026-06-12,3405,0.7313609467455622,0.1004405286343612,9.927113702623906,0.9938271604938272,0.3321204599315115,-17381.357596642636,34908.71519328527,35379.407740554816,,,,,,,0.96,0.94,1.0,0.8605769230769231,0.7884615384615384,0.9326923076923076,0.25,0.4576271186440678,,,-151.0,-219.0
markov_switching_var_2s,2,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,0.7743533296642818,0.0556897801401304,17.917748917748916,0.9975766387980128,,-13984.167114099146,27980.33422819829,28023.77012707957,0.9931506849315068,,,0.7411764705882353,,,0.96,,,0.7368421052631579,,,0.0377358490566037,0.8095238095238095,-252.0,-43.0,-159.0,-220.0
garch_t_vol,2,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,0.8451424397370343,0.0141338487557381,70.15254237288136,0.9993956973652404,0.1847029146708707,-13285.563253642613,26583.126507285226,26626.5624061665,1.0,1.0,1.0,0.7411764705882353,0.535,0.9411764705882352,0.94,0.9,1.0,0.8038277511961722,0.6794258373205742,0.9138755980861244,0.1132075471698113,0.873015873015873,-252.0,-42.0,-158.0,-217.0
changepoint_online,2,1993-03-23→2026-06-12 (n=8278),1993-03-23,2026-06-12,8278,0.867430441898527,0.0021744382701135,435.6842105263158,0.999939569736524,0.1295133960746461,,,,1.0,1.0,1.0,0.6705882352941176,0.4705882352941176,0.8823529411764706,0.84,0.66,1.0,0.7655502392344498,0.6338516746411483,0.8828947368421052,0.0,0.0,-252.0,-252.0,-204.0,-252.0
hmm_tstudent_4s,4,2012-07-20→2026-06-12 (n=3405),2012-07-20,2026-06-12,3405,0.5188679245283019,0.0519823788546255,19.129213483146067,0.8768371546149324,0.0062047344857508,-11536.33989589604,23390.67979179208,24415.886846803827,,,,,,,0.66,0.4,0.92,0.3317307692307692,0.2019230769230769,0.4832932692307691,0.0,0.0338983050847457,,,-150.0,-172.0
jump_model,2,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.6243386243386243,0.005285013212533,176.6,0.983371126228269,0.372981452024976,,,,,,,,,,0.72,0.4495,1.0,0.1682692307692307,0.0721153846153846,0.2692307692307692,,0.0,,,-8.0,-80.0
turbulence_mahalanobis,2,1998-06-02→2026-06-12 (n=6987),1998-06-02,2026-06-12,6987,0.8152173913043478,0.087304994990697,11.435351882160392,0.9997131382673552,0.3446093907017846,,,,0.821917808219178,0.7465753424657534,0.8972602739726028,0.4823529411764706,0.3176470588235294,0.6588235294117647,0.76,0.62,0.96,0.430622009569378,0.3084928229665072,0.5502392344497608,0.1226415094339622,0.3015873015873015,-250.0,-39.0,-15.0,-220.0
msgarch_regime,2,1991-03-04→2026-06-12 (n=8782),1991-03-04,2026-06-12,8782,0.94944119212347,0.0312001821908449,31.934545454545454,0.8894064872325742,0.1127179249442181,-13365.45600090871,26750.91200181742,26823.30516661955,0.0,0.0,0.0,0.1176470588235294,0.0,0.2767647058823527,0.2,0.0,0.4704999999999995,0.3588516746411483,0.2440191387559808,0.4641148325358851,0.0,0.9365079365079364,,-39.0,-35.0,-220.0
deep_ae_regime,3,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.6033057851239669,0.2872782181955455,3.4763779527559056,0.9644746787603932,0.1764197871107709,,,,,,,,,,0.54,0.4,0.72,0.1009615384615384,0.0526442307692307,0.1490384615384615,,0.1525423728813559,,,-4.0,
